[main] fuzz harness up, mode=scaler
[main] sandbox note: VCPDRM open is MACF-denied (iokit-open-user-client VCPDRMUserClient); mach-lookup com.apple.sprr / com.apple.jitbox exist but are sandbox-gated (seen in kernel log)
[open] AppleM2ScalerCSCDriver -> conn 0x7303
[scaler] conn 0x7303, s1 278 s2 282
[probe12] SetNotificationPort -> 0x00000000
[sweep] v97: full IOKit surface sweep
[sweep] svc: AKSAnalytics | AKSAnalytics | IOService:/IOResources/AKSAnalytics
[sweep] svc: ASIOKit | ASIOKit | IOService:/IOResources/ASIOKit
[sweep] svc: AUC | AUC | IOService:/IOResources/AUC
[sweep] svc: AppleDiskImagesController | AppleDiskImagesController | IOService:/IOResources/AppleDiskImagesController
[sweep] svc: ANEDriverRoot | H1xANELoadBalancer | IOService:/IOResources/ANEDriverRoot
[sweep] svc: ANEClientHints | ANEClientHints | IOService:/IOResources/ANEDriverRoot/ANEClientHints
[sweep] svc: AppleIPAppender | AppleIPAppender | IOService:/IOResources/AppleIPAppender
[sweep] svc: AppleSARService | AppleSARService | IOService:/IOResources/AppleSARService
[sweep] svc: aic-timebase | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aic-timebase@D1180000
[sweep] svc: aic | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aic@C1000000
[sweep] svc: pmgr | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/pmgr@C0700000
[sweep] svc: wdt | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wdt@D42B0000
[sweep] svc: mcc | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/mcc@10100000
[sweep] svc: dwi | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dwi@C0200000
[sweep] svc: event-log-handler | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/event-log-handler@C0700000
[sweep] svc: aop | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop@E4400000
[sweep] svc: aop-gpio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-gpio@E4824000
[sweep] svc: smc-gpio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/smc-gpio@DC820000
[sweep] svc: pmp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/pmp@C0C00000
[sweep] svc: sep | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sep@92400000
[sweep] svc: sio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio@95C00000
[sweep] svc: ans | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/ans@F9400000
[sweep] svc: smc | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/smc@DC400000
[sweep] svc: pmgrtools | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/pmgrtools
[sweep] svc: dockchannel-mtp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dockchannel-mtp@EAB00000
[sweep] svc: mtp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/mtp@EA400000
[sweep] svc: nco | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nco@C0044000
[sweep] svc: gpio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/gpio@B7100000
[sweep] svc: error-handler | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/error-handler@10100000
[sweep] svc: pwm | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/pwm@95040000
[sweep] svc: aes | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aes@9500C000
[sweep] svc: dart-aop | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-aop@E4818000
[sweep] svc: nub-gpio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-gpio@D41F0000
[sweep] svc: mtp-gpio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/mtp-gpio@EA820000
[sweep] svc: dart-pmp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-pmp@C0300000
[sweep] svc: dart-sep | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-sep@90CC0000
[sweep] svc: dart-sio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-sio@95004000
[sweep] svc: sart-ans | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sart-ans@FDC50000
[sweep] svc: aon-ptd | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aon-ptd@DC840000
[sweep] svc: dockchannel-uart | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dockchannel-uart@D4128000
[sweep] svc: mtp-aop-mux | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/mtp-aop-mux
[sweep] svc: spi3 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/spi3@9510C000
[sweep] svc: i2c3 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/i2c3@9501C000
[sweep] svc: nub-spmi1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi1@D4614000
[sweep] svc: dart-mtp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-mtp@EA808000
[sweep] svc: uart0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/uart0@95200000
[sweep] svc: i2c2 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/i2c2@95018000
[sweep] svc: nub-spmi0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi0@D4714000
[sweep] svc: aop-spmi0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-spmi0@E4894000
[sweep] svc: display-crossbar0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/display-crossbar0
[sweep] svc: atc0-dpphy | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/atc0-dpphy
[sweep] svc: dart-usb | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-usb@2F00000
[sweep] svc: dcp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcp@7EC00000
[sweep] svc: disp0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/disp0@7C000000
[sweep] svc: dart-disp0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-disp0@7D304000
[sweep] svc: nub-spmi-a0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000
[sweep] svc: aop-spmi1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-spmi1@E48D4000
[sweep] svc: atc0-dpxbar | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/atc0-dpxbar@304C000
[sweep] svc: atc-phy0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/atc-phy0@2A90000
[sweep] svc: usb-drd | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/usb-drd@2280000
[sweep] svc: dcp0-expert | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcp0-expert@D42B8044
[sweep] svc: dart-dcp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-dcp@7D30C000
[sweep] svc: dart-dispgrt | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-dispgrt@7D350000
[sweep] svc: dcp-sac-controller | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcp-sac-controller
[sweep] svc: dispext0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dispext0@8000000
[sweep] svc: dcpext-expert | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcpext-expert@D42B8044
[sweep] svc: dp-audio1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dp-audio1
[sweep] svc: dart-dcpext0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-dcpext0@930C000
[sweep] svc: dart-dispext0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-dispext0@9304000
[sweep] svc: dcpext | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcpext@AC00000
[sweep] svc: alc0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/alc0
[sweep] svc: aop-mca2 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-mca2@E4808000
[sweep] svc: aop-mca-switch | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-mca-switch@E4800000
[sweep] svc: sio-mca-switch | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio-mca-switch@97400000
[sweep] svc: admac-sio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/admac-sio@97200000
[sweep] svc: admac-aop-base | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/admac-aop-base@E4900000
[sweep] svc: apple-processor-trace | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/apple-processor-trace
[sweep] svc: gpio-canary | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/gpio-canary
[sweep] svc: msg | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/msg@B7500000
[sweep] svc: aop-mca-pmgr | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-mca-pmgr@D4240014
[sweep] svc: sio-mca2 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio-mca2@97408000
[sweep] svc: admac-aop-audio | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/admac-aop-audio@E4980000
[sweep] svc: gfx-asc | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/gfx-asc@82400000
[sweep] svc: sgx | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sgx@80000000
[sweep] svc: grimaldi | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/grimaldi
[sweep] svc: bluetooth | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/bluetooth@F
[sweep] svc: wlan | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wlan
[sweep] svc: dart-apr | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-apr@7008000
[sweep] svc: apr | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/apr@7000000
[sweep] svc: dart-avd | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-avd@79010000
[sweep] svc: dart-ave | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-ave@5030000
[sweep] svc: ave | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/ave@5100000
[sweep] svc: mapper-gfx-asc | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/mapper-gfx-asc
[sweep] svc: sio-mca1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio-mca1@97404000
[sweep] svc: sio-mca-pmgr | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio-mca-pmgr@C00400B4
[sweep] svc: avd | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/avd@78000000
[sweep] svc: dart-ane | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-ane@1800000
[sweep] svc: ane | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/ane@1400000
[sweep] svc: sio-mca0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/sio-mca0@97400000
[sweep] svc: smctempsensor0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/smctempsensor0
[sweep] svc: dart-apcie1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-apcie1@95000000
[sweep] svc: apcie1-piodma | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/apcie1-piodma@95010000
[sweep] svc: pearl-sep | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/pearl-sep
[sweep] svc: aod3 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aod3
[sweep] svc: apcie0-piodma | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/apcie0-piodma@94010000
[sweep] svc: dart-isp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-isp@8A4AC000
[sweep] svc: isp | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/isp@88000000
[sweep] svc: audio-resource-manager | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/audio-resource-manager
[sweep] svc: haptics-support-interface | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/haptics-support-interface
[sweep] svc: dart-jpeg0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-jpeg0@8D004000
[sweep] svc: jpeg0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/jpeg0@8D000000
[sweep] svc: aop-mca3 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aop-mca3@E480C000
[sweep] svc: aod2 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/aod2
[sweep] svc: dart-jpeg1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-jpeg1@8D010000
[sweep] svc: dart-scaler | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-scaler@D200000
[sweep] svc: scaler0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/scaler0@D000000
[sweep] svc: cpu-debug-interface | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/cpu-debug-interface
[sweep] svc: jpeg1 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/jpeg1@8D00C000
[sweep] svc: dart-apcie0 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dart-apcie0@94000000
[sweep] svc: alc4 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/alc4
[sweep] svc: apcie | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/apcie@80000000
[sweep] svc: alc2 | AppleARMIODevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/alc2
[sweep] svc: Port-MagSafe | IOAccessoryDock0PinBuiltin | IOService:/AppleARMPE/port-magsafe-1/Port-MagSafe@1
[sweep] svc: Port-USB-C | AppleHPMInterfaceType14 | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1
[sweep] svc: LDCM | AppleHPMLDCMType2 | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1/LDCM
[sweep] svc: Power In | IOPortFeaturePowerIn | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1/Power In
[sweep] svc: RF CoEx | IOPortFeatureRFCoEx | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1/RF CoEx
[sweep] svc: Brick ID | IOPortFeaturePowerSource | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1/Power In/Brick ID
