TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-08-07 22:21:26,10859,33,1,2969,2475,2689,3996,36,-3085,1000,105,47139,32261,89485,2850,4535,2925,15
2026-08-07 22:26:29,10287,37,0,3500,-846,-810,3852,40,-3235,1000,75,47139,125388,251084,3489,0,0,15
2026-08-07 22:31:29,9568,43,1,3819,2376,2435,4034,45,-3423,1000,65,47139,931508,3773046,3539,4430,2478,15
2026-08-07 22:36:30,8901,49,1,3800,2310,2351,4058,49,-3598,1000,62,47139,1467679,6848916,3529,4450,2426,15
