TimeStamp,BatteryIndex,WeightedRa,Qmax0,CycleCount,NominalChargeCapacity,TimeAtHighSoc,ChargingVoltage,LowVoltageResidencyCounters,BHServiceFlags,BHCalibrationFlags,MaxCapacityPercent
2026-07-26 06:40:35,0,119,4315,783,3809,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4181,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa010000610000006e02000082020000,8388612,0,0
2026-07-26 18:41:14,0,119,4315,784,3810,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4115,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-27 06:40:39,0,119,4315,784,3810,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4404,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-27 18:40:39,0,120,4315,785,3810,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4399,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-28 06:40:39,0,120,4315,785,3810,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4393,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-28 18:40:39,0,119,4315,785,3810,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4391,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-29 06:40:39,0,119,4289,786,3811,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4413,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-29 18:40:39,0,117,4289,787,3804,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4411,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-30 06:40:44,0,117,4289,787,3804,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4268,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-30 18:40:38,0,117,4289,788,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,3849,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000aa0100006100000096020000bf020000,4,0,86
2026-07-31 06:40:39,0,117,4289,789,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4255,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000ab0100006100000097020000c2020000,4,0,86
2026-07-31 18:40:38,0,117,4289,790,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4214,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000ab0100006100000097020000c2020000,4,0,86
2026-08-01 06:40:39,0,117,4289,790,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,3950,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000ab0100006100000097020000c2020000,4,0,86
2026-08-01 18:40:39,0,117,4289,791,3797,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4098,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000000000000000000530200008e0100002f000000e5020000ab0100006100000097020000c2020000,4,0,86
2026-08-02 06:40:39,0,117,4289,792,3796,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4250,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-02 18:40:39,0,115,4289,792,3796,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4397,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-03 06:40:39,0,115,4289,793,3796,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4397,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-03 18:40:39,0,115,4289,794,3797,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4248,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-04 06:40:45,0,115,4289,794,3797,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4390,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-04 18:40:39,0,115,4289,795,3797,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4147,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-05 06:40:40,0,115,4289,795,3797,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4433,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-05 18:40:38,0,115,4289,796,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4231,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-06 06:41:27,0,115,4289,796,3798,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4395,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
2026-08-06 18:40:48,0,115,4289,797,3800,1a0000002d0000000d0000000200000000000000160200004a020000c60000001c00000003000000,4394,00000000000000000000000000000000000000000000000000000000000000000000000000000000070000002e00000000000000000000001000000000000000000000000100000000000000530200008e0100002f000000e5020000ab0100006100000097020000ee020000,4,0,86
