## smcDiagnose 5.00 200
BI01 , 2315.000000
BI02 , 2315.000000
BI03 , 2266.000000
BI04 , 1849.000000
BISS , 2136.000000
BLCC , 18.000000
BLFM , 2225.000000
BLFX , 4581.000000
BLH0 , 26.000000
BLH1 , 45.000000
BLH2 , 13.000000
BLH3 , 2.000000
BLIC , 5911.000000
BLID , -7758.000000
BLNM , 3776.000000
BLNX , 4538.000000
BLPM , 2910.000000
BLPX , 4484.000000
BLQM , 4288.000000
BLQX , 4611.000000
BLRC , 0.000000
BLRD , 0x01 00 00 00 00 00 00 00  00 00 08 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BLRE , 0.000000
BLRF , 0.000000
BLRG , 0.000000
BLRH , 1.000000
BLRI , 0.000000
BLRR , 0x08 
BLRS , 0.000000
BLRW , 0.000000
BLSC , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BLSD , 79014.000000
BLSE , 50.000000
BLSF , 358.000000
BLSG , 21.000000
BLSH , 65535.000000
BLTA , 29.000000
BLTM , -1.000000
BLTO , 18597.000000
BLTP , 0x1a 00 00 00 2d 00 00 00  0d 00 00 00 02 00 00 00  00 00 00 00 16 02 00 00  4a 02 00 00 c6 00 00 00  1c 00 00 00 03 00 00 00  
BLTS , 66949420.000000
BLTV , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  07 00 00 00 2e 00 00 00  00 00 00 00 00 00 00 00  10 00 00 00 00 00 00 00  00 00 00 00 01 00 00 00  00 00 00 00 53 02 00 00  8e 01 00 00 2f 00 00 00  e5 02 00 00 ab 01 00 00  61 00 00 00 97 02 00 00  ee 02 00 00 
BLTW , 1.000000
BLTX , 525.000000
BLTY , 0.000000
BLTZ , 0.000000
BMCD , 0.000000
BMDA , 0x44 4b 33 48 35 5a 30 30  4c 58 43 30 30 30 30 30  50 36 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BMDB , 0x37 34 31 2d 30 31 34 33  38 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BMDN , 0x56 65 72 69 64 69 61 6e  00 00 
BMDT , 0x39 30 30 36 31 38 00 
BMSC , 75.000000
BMSN , 0x46 47 39 48 37 37 30 30  31 41 46 30 30 30 30 36  54 56 00 00 00 
BMW1 , 0x48 35 37 00 
