Filesystem                                                                                           Size    Used   Avail Capacity iused ifree %iused  Mounted on
com.apple.os.update-198AC52A3BB1E5F49B074BF983CC8682EA7E332BBC10088107186ED631825192@/dev/disk2s1    256G   9145M    159G     6%    463k  1.6G    0%   /
devfs                                                                                                 51k     51k      0B   100%     174     0  100%   /dev
/dev/disk2s6                                                                                         256G   6336M    159G     4%     144  1.6G    0%   /private/preboot
/dev/disk2s3                                                                                          10M   6312k   4174k    61%       1   41k    0%   /private/xarts
/dev/disk2s2                                                                                         256G     37G    159G    20%    254k  1.6G    0%   /private/var
/dev/disk2s4                                                                                          21M   8413k     13M    41%       6  123k    0%   /private/var/wireless/baseband_data
/dev/disk2s7                                                                                         256G     79M    159G     1%     355  1.6G    0%   /private/var/MobileSoftwareUpdate
/dev/disk2s5                                                                                         102M     50M     52M    50%     143  504k    0%   /private/var/hardware
/dev/disk2s8                                                                                         256G     43G    159G    22%    347k  1.6G    0%   /private/var/mobile
