    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
  221    0 (Idle)             3     5633KB          5873KB    N     Y     -       N        -               292  183  profiled                                                                      79s              181s         43.58%
  222    0 (Idle)             3     3409KB         13809KB    N     Y     -       N        -               445  271  callintelligenced                                                            150s              173s         86.73%
  223    0 (Idle)             8     6129KB          6257KB    N     Y     -       N        -               695  451  photoanalysisd                                                                60s              131s         46.20%
  224    0 (Idle)             6     3745KB          4145KB    N     Y     -       N        -               567  659  biomesyncd                                                                     3s               39s          9.71%
  225    0 (Idle)             9     2689KB          3249KB    N     Y     -       N        -                98  367  TilesService                                                                 113s              155s         72.84%
  226    0 (Idle)            17     7489KB          7953KB    N     Y     -       N        -               494  301  storekitd                                                                     75s              170s         44.50%
  227    0 (Idle)             3     4433KB         20945KB    N     Y     -       N        -               672  429  icloudmailagent                                                              102s              140s         73.18%
  228    0 (Idle)             3     4561KB          4833KB    N     Y     -       N        -               308  192  ndoagent                                                                     141s              181s         77.80%
  229    0 (Idle)            18     8465KB          9441KB    N     Y     -       N        -               144  102  amsaccountsd                                                                  95s              184s         51.80%
  230    0 (Idle)             6     2945KB          3185KB    N     Y     -       N        -               584  665  backupd                                                                       18s               33s         54.78%
  231    0 (Idle)            17     6481KB          8753KB    N     Y     -       N        -               397  246  bird                                                                          46s              176s         26.45%
  232    0 (Idle)             3     2689KB          2817KB    N     Y     -       N        -               395  245  countryd                                                                      44s              176s         24.92%
  233    0 (Idle)             3     2721KB          4577KB    N     Y     -       N        -               264  166  localizationswitcherd                                                          3s              182s          1.99%
  234    0 (Idle)             3     2929KB          3201KB    N     Y     -       N        -               664  424  AMPIDService                                                                  82s              141s         58.04%
  235    0 (Idle)             4     3873KB          5041KB    N     Y     -       N        -               472  635  FPCKService                                                                   26s               72s         36.98%
  236    0 (Idle)             3     2593KB          2593KB    N     Y     -       N        -               429  455  intents_helper                                                                71s              130s         54.75%
  237    0 (Idle)             3     3505KB          4129KB    N     Y     -       N        -               212  138  nehelper                                                                       8s              183s          4.64%
  238    0 (Idle)            13     5905KB          6161KB    N     Y     -       N        -               431  264  StatusKitAgent                                                                94s              173s         54.65%
  239    0 (Idle)             6     5217KB          5377KB    N     Y     -       N        -               536  326  intelligentroutingd                                                          105s              166s         63.20%
  240    0 (Idle)             4     3297KB          3569KB    N     Y     -       N        -               196  129  batteryintelligenced                                                          19s              183s         10.45%
  241    0 (Idle)             3     5361KB          5937KB    N     Y     -       N        -               439  268  seserviced                                                                    15s              173s          8.71%
  242    0 (Idle)             3    18433KB         24609KB    N     Y     -       N        -                12  190  MTLCompilerService                                                             6s              181s          3.43%
  243    0 (Idle)            24    13233KB         14065KB    N     Y     -       N        -               506  309  financed                                                                     133s              169s         79.14%
  244    0 (Idle)             3    15745KB         26433KB    N     Y     -       N        -               348  236  MTLCompilerService                                                             5s              179s          3.03%
  245    0 (Idle)             6     3361KB          3569KB    N     Y     -       N        -               228  352  com.apple.FaceTime.FTConversationService                                       2s              160s          1.39%
  246    0 (Idle)             3     1857KB          2161KB    N     Y     -       N        -               872  673  ReportSystemMemory                                                             5s               16s         30.76%
  247    0 (Idle)             9     5249KB          5329KB    N     Y     -       N        -                64   62  mobiletimerd                                                                   1s              184s          1.07%
  248    0 (Idle)            61     5457KB          6097KB    N     Y     -       N        -                50  672  IntelligencePlatformComputeService                                            11s               26s         43.71%
  249    0 (Idle)             4     4705KB          5105KB    N     Y     -       N        -               449  273  mapspushd                                                                      8s              173s          4.93%
  250    0 (Idle)             3     5857KB          6049KB    N     Y     -       N        -               310  193  pkd                                                                           36s              181s         19.85%
  251    0 (Idle)             4     5969KB          6753KB    N     Y     -       N        -               134   97  navd                                                                          22s              184s         12.31%
  252    0 (Idle)            16     5681KB          6177KB    N     Y     -       N        -               516  315  mapssyncd                                                                    130s              167s         78.10%
  253    0 (Idle)             3     2113KB          2241KB    N     Y     -       N        -               856  654  AudioConverterHighCapacityService                                              0s               41s          0.05%
  254    0 (Idle)            45    11617KB         16481KB    N     Y     -       N        -               633  400  maild                                                                        138s              148s         93.62%
  255    0 (Idle)             7     3153KB          3585KB    N     Y     -       N        -               364  224  rtcreportingd                                                                  9s              180s          5.36%
  256    0 (Idle)            13   124850KB        136194KB    -     -     -       N        -               856  651  ChatGPT                                                                        0s               43s          0.00%
  257    0 (Idle)             7     6833KB         63841KB    N     Y     -       N        -               348  214  iconservicesagent                                                            135s              180s         75.13%
  258    0 (Idle)             4     3521KB          3905KB    N     Y     -       N        -                52  344  ThreeBarsXPCService                                                           36s              164s         21.90%
  259    0 (Idle)             6     2705KB          3025KB    N     Y     -       N        -                12  304  SetStoreUpdateService                                                          0s              169s          0.05%
  260    0 (Idle)            33    13009KB         15313KB    N     Y     -       N        -                34   47  healthd                                                                      146s              184s         79.41%
  261    0 (Idle)            30     8417KB          9665KB    N     Y     -       N        -               268  170  coreduetd                                                                    146s              182s         80.55%
  262    0 (Idle)            18     6465KB          6689KB    N     Y     -       N        -               286  180  findmydeviced                                                                125s              182s         69.04%
  263    0 (Idle)             4     2289KB          3457KB    N     Y     -       N        -                56   58  keybagd                                                                      141s              184s         76.61%
  264    0 (Idle)            19     6097KB          6593KB    N     Y     -       N        -               646  413  promotedcontentd                                                              25s              143s         17.58%
  265    0 (Idle)            12     9921KB         11201KB    N     Y     -       N        -               120   90  passd                                                                        122s              184s         66.24%
  266    0 (Idle)             3     2113KB          2145KB    N     Y     -       N        -                54   57  remoted                                                                        3s              184s          1.64%
  267    0 (Idle)             3     2449KB          2785KB    N     Y     -       N        -               625  395  diagnosticservicesd                                                            5s              149s          3.97%
  268    0 (Idle)             3     1777KB          1889KB    N     Y     -       N        -               714  465  tailspind                                                                     64s              125s         51.21%
  269    0 (Idle)             3     1441KB          1569KB    N     Y     -       N        -               538  328  coresymbolicationd                                                             2s              165s          1.66%
  270    0 (Idle)             3     2401KB          2865KB    N     Y     -       N        -               486  296  ReportCrash                                                                  118s              170s         69.45%
  271    0 (Idle)             3     2609KB          5713KB    N     Y     -       N        -               652  675  ReportMemoryException                                                          8s               16s         52.10%
  272    0 (Idle)            19    11521KB         12513KB    N     Y     -       N        -                24   42  accountsd                                                                    139s              184s         75.88%
  273    0 (Idle)             7     7969KB         31057KB    N     Y     -       N        -               322  200  assistant_cdmd                                                                95s              181s         52.65%
  274    0 (Idle)             6     3665KB          3873KB    N     Y     -       N        -               354  217  webbookmarksd                                                                 82s              180s         45.81%
  275    0 (Idle)             6     6369KB          6737KB    N     Y     -       N        -               326  203  replicatord                                                                   51s              181s         28.26%
  276    0 (Idle)             3     2785KB          6465KB    N     Y     -       N        -               464  282  aned                                                                         155s              173s         89.93%
  277    0 (Idle)             3     8913KB         55505KB    N     Y     -       N        -               270  357  localspeechrecognition                                                       155s              160s         96.87%
  278    0 (Idle)             6     2689KB          2785KB    N     Y     -       N        -               389  676  SetStoreUpdateService                                                          0s               12s          1.91%
  279    0 (Idle)             3     3857KB          3985KB    N     Y     -       N        -               387  239  sociallayerd                                                                   0s              177s          0.02%
  280    0 (Idle)            29     7153KB          8561KB    N     Y     -       N        -               194  128  spotlightknowledged.updater                                                  108s              183s         59.26%
  281   10 (Deferred)         3     4337KB         19761KB    N     Y     -       N        -               362  222  osanalyticshelper                                                            126s              180s         70.19%
  282   10 (Deferred)         3    25521KB         31745KB    N     Y     -       N        -                86  145  MTLCompilerService                                                            12s              183s          6.72%
  283   10 (Deferred)         4     2449KB          2561KB    N     Y     -       N        -               162  111  usermanagerd                                                                  11s              184s          6.06%
  284   10 (Deferred)         6     2817KB          3105KB    N     Y     -       N        -               429  486  SetStoreUpdateService                                                          6s              107s          6.11%
  285   10 (Deferred)        24     5617KB          6001KB    N     Y     -       N        -               674  431  cloudphotod                                                                   97s              138s         70.16%
  286   10 (Deferred)         3     2369KB          2513KB    N     Y     -       N        -               210  137  PerfPowerTelemetryClientRegistrationService                                   73s              183s         40.06%
  287   10 (Deferred)         3     2737KB          2977KB    N     Y     -       N        -               190  126  powerexperienced                                                              59s              183s         32.30%
  288   10 (Deferred)         4     8033KB          8145KB    N     Y     -       N        -               688  446  CarPlay                                                                        0s              132s          0.15%
  289   10 (Deferred)         3     2881KB          2961KB    N     Y     -       N        -               563  350  pasted                                                                         1s              161s          1.04%
  290   10 (Deferred)         3     3969KB          4097KB    N     Y     -       N        -               116   88  sleepd                                                                        15s              184s          8.15%
  291   10 (Deferred)         7    12113KB         13745KB    N     Y     -       N        -               228  147  callservicesd                                                                106s              183s         58.02%
  292   10 (Deferred)        14     6257KB          6753KB    N     Y     -       N        -               274  174  watchlistd                                                                    86s              182s         47.24%
  293   10 (Deferred)        12     4113KB          4481KB    N     Y     -       N        -               582  368  bookassetd                                                                    55s              155s         35.45%
  294   10 (Deferred)        11     9841KB         10657KB    N     Y     -       N        -               580  366  fitcored                                                                      46s              155s         29.78%
  295   10 (Deferred)        20     9073KB          9841KB    N     Y     -       N        -               282  178  itunescloudd                                                                  79s              182s         43.64%
  296   10 (Deferred)         6     7233KB         10849KB    N     Y     -       N        -                46   53  atc                                                                          144s              184s         78.18%
  297   10 (Deferred)        22     9521KB         10513KB    N     Y     -       N        -               290  182  appstored                                                                    160s              182s         88.09%
  298   10 (Deferred)        56    14241KB         15121KB    N     Y     -       N        -                20   40  routined                                                                     150s              184s         81.56%
  299   10 (Deferred)         3     3201KB          3297KB    N     Y     -       N        -               518  316  AssetCacheLocatorService                                                       0s              167s          0.55%
  300   10 (Deferred)        28     7649KB          8129KB    N     Y     -       N        -               522  318  itunesstored                                                                 135s              167s         81.21%
  301   10 (Deferred)         3     4017KB          4081KB    N     Y     -       N        -               366  225  replayd                                                                       74s              180s         41.22%
  302   10 (Deferred)         3     3505KB          3729KB    N     Y     -       N        -               534  325  gamepolicyd                                                                  110s              166s         66.46%
  303   10 (Deferred)         6     3665KB          3985KB    N     Y     -       N        -                40   50  tccd                                                                          85s              184s         46.38%
  304   10 (Deferred)        17     6945KB          7761KB    N     Y     -       N        -                50   55  biomed                                                                       179s              184s         97.32%
  305   10 (Deferred)         6     4305KB          4657KB    N     Y     -       N        -               405  251  triald                                                                       165s              175s         94.07%
  306   15 (Unknown)          3    17681KB         24513KB    N     Y     -       N        -                82  295  MTLCompilerService                                                            70s              170s         41.54%
  307   15 (Unknown)          5     3985KB          4065KB    N     Y     -       N        -               254  161  carkitd                                                                       15s              182s          8.49%
  308   15 (Unknown)         14     9761KB         10081KB    N     Y     -       N        -               332  206  generativeexperiencesd                                                       144s              181s         79.81%
  309   15 (Unknown)          3     2865KB          3041KB    N     Y     -       N        -               729  479  sensorkitd                                                                    77s              114s         67.96%
  310   15 (Unknown)          7     7249KB         11697KB    N     Y     -       N        -               276  175  modelcatalogd                                                                143s              182s         78.66%
  311   15 (Unknown)          3     3009KB          3105KB    N     Y     -       N        -               578  365  appmanagedfeaturesd                                                          113s              156s         72.44%
  312   15 (Unknown)         12     4609KB          4753KB    N     Y     -       N        -               498  303  com.apple.quicklook.ThumbnailsAgent                                           88s              169s         52.20%
  313   15 (Unknown)         10     7729KB         10353KB    N     Y     -       N        -               379  410  IMDPersistenceAgent                                                           77s              145s         53.44%
  314   15 (Unknown)          3     4193KB          4609KB    N     Y     -       N        -                12  311  intents_helper                                                                 8s              169s          5.10%
  315   15 (Unknown)          3     3633KB          4337KB    N     Y     -       N        -               544  338  deleted                                                                       62s              165s         37.87%
  316   15 (Unknown)         18     9905KB         28993KB    N     Y     -       N        -               508  310  amsengagementd                                                               114s              169s         67.86%
  317   15 (Unknown)         26     9681KB         10897KB    N     Y     -       N        -               472  286  fileproviderd                                                                133s              172s         77.65%
  318   15 (Unknown)          3     2417KB          2609KB    N     Y     -       N        -               214  139  MobileGestaltHelper                                                           16s              183s          8.74%
  319   15 (Unknown)         12     7009KB          8641KB    N     Y     -       N        -               352  216  akd                                                                          100s              180s         55.72%
  320   15 (Unknown)          9     4001KB          4897KB    N     Y     -       N        -               639  406  swtransparencyd                                                               15s              146s         10.58%
  321   15 (Unknown)          7     6721KB          7457KB    N     Y     -       N        -               240  154  networkserviceproxy                                                          130s              183s         71.43%
  322   15 (Unknown)         12     9681KB         10193KB    N     Y     -       N        -               260  164  geod                                                                         144s              182s         79.12%
  323   15 (Unknown)         17     9057KB          9393KB    N     Y     -       N        -               368  305  gamed                                                                         61s              169s         36.26%
  324   15 (Unknown)          3     7297KB          7601KB    N     Y     -       N        -                22   41  mediaremoted                                                                 123s              184s         66.98%
  325   15 (Unknown)         15     9281KB         10321KB    N     Y     -       N        -               693  450  mediaanalysisd                                                               113s              132s         85.93%
  326   15 (Unknown)          3    14705KB         22545KB    N     Y     -       N        -               829  642  MTLCompilerService                                                             0s               59s          0.29%
  327   15 (Unknown)         11     8737KB         16017KB    N     Y     -       N        -               182  122  mobileassetd                                                                 158s              183s         85.99%
  328   15 (Unknown)          3     2465KB          2529KB    N     Y     -       N        -               712  463  betaenrollmentd                                                               27s              127s         21.74%
  329   15 (Unknown)          4     2689KB          2897KB    N     Y     -       N        -               242  155  mobileactivationd                                                             44s              183s         24.29%
  330   15 (Unknown)         17     4849KB          5665KB    N     Y     -       N        -               218  141  trustd                                                                       144s              183s         78.76%
  331   15 (Unknown)          3     2193KB          2449KB    N     Y     -       N        -               597  380  mobile_diagnostics_relay                                                       3s              153s          2.32%
  332   20 (Opportunistic)    3    21553KB         33137KB    -     -     -       N        -               868  663  StickerPickerService                                                           0s               36s          0.00%
  333   37 (Unknown)          3    24289KB         59617KB    -     -     -       N        -               296  185  Campo                                                                          0s              182s          0.00%
  334   40 (BG)               6     7233KB          7521KB    -     -     -       N        -               256  162  AccessibilityUIServer                                                          0s              182s          0.00%
  335   40 (BG)              13     8001KB          8769KB    Y     Y     -       N        -               224  144  contactsd                                                                    181s              183s         98.79%
  336   40 (BG)              18    16657KB         17809KB    Y     Y     -       N        -               236  151  cloudd                                                                       181s              183s         98.96%
  337   40 (BG)               3     3233KB          3345KB    Y     Y     -       N        -               356  219  useractivityd                                                                179s              180s         99.11%
  338   40 (BG)              33    11137KB         12401KB    Y     Y     -       N        -               370  227  searchpartyd                                                                 179s              180s         99.24%
  339   40 (BG)               3     5713KB          6081KB    Y     Y     -       N        -               108   84  audioaccessoryd                                                              178s              184s         96.85%
  340   40 (BG)               3     1841KB          1921KB    Y     Y     -       N        -               383  235  clocksyncd                                                                   178s              179s         99.53%
  341   40 (BG)               6    11857KB         26705KB    Y     Y     -       N        -               270  171  corespeechd                                                                  177s              182s         97.47%
  342   40 (BG)              10     6225KB          6625KB    Y     Y     -       N        -               377  232  heard                                                                        176s              180s         97.73%
  343   40 (BG)              40    10705KB         11521KB    Y     Y     -       N        -               389  241  suggestd                                                                     175s              178s         98.77%
  344   40 (BG)               9     7985KB          8289KB    Y     Y     -       N        -               316  196  agentstored                                                                  173s              182s         95.49%
  345   40 (BG)               9     4705KB          5281KB    Y     Y     -       N        -               372  228  nsurlsessiond                                                                170s              180s         94.57%
  346   40 (BG)               4     6721KB          6977KB    Y     Y     -       N        -               304  189  nearbyd                                                                      174s              182s         95.98%
  347   40 (BG)               3     4801KB          4881KB    Y     Y     -       N        -               266  168  audioanalyticsd                                                              180s              182s         98.74%
  348   40 (BG)              11    10705KB         12081KB    Y     Y     -       N        -               429  263  siriactionsd                                                                 166s              174s         95.21%
  349   40 (BG)               5     5201KB          5617KB    Y     Y     -       N        -                44   52  parsecd                                                                      161s              184s         87.68%
  350   40 (BG)               3     1857KB          1905KB    Y     Y     -       N        -               590  374  afcd                                                                         153s              154s         99.31%
  351   40 (BG)               3     1633KB          1649KB    Y     Y     -       N        -               623  394  absd                                                                         149s              149s         99.94%
  352   40 (BG)              10     7025KB          7761KB    Y     Y     -       N        -               298  186  linkd                                                                        145s              182s         79.97%
  353   40 (BG)               4     6513KB          7601KB    Y     Y     -       N        -               599  381  afcd                                                                         140s              153s         91.64%
  354   40 (BG)               3     4529KB          4945KB    Y     Y     -       N        -               136   98  safetyalertsd                                                                135s              184s         73.32%
  355   40 (BG)              21     2993KB          3217KB    Y     Y     -       N        -               561  349  privacyaccountingd                                                           133s              162s         82.24%
  356   40 (BG)              39    23297KB         24961KB    Y     Y     -       N        -                18   39  assistantd                                                                   170s              184s         92.34%
  357   40 (BG)               3     4225KB          4337KB    Y     Y     -       N        -               174  118  coreauthd                                                                    158s              183s         85.94%
  358   40 (BG)               3     1985KB          2033KB    Y     Y     -       N        -               744  496  heartbeatd                                                                   102s              102s         99.98%
  359   40 (BG)               8     6161KB          6769KB    Y     Y     -       N        -               637  405  wifivelocityd                                                                102s              146s         69.99%
  360   40 (BG)               3     3217KB          3313KB    N     -     -       N        -               524  319  CMFSyncAgent                                                                  22s              167s         13.59%
  361   40 (BG)              49    27041KB         27713KB    Y     Y     -       N        -               330  205  intelligenceflowd                                                            125s              181s         69.23%
  362   40 (BG)               3     3313KB          3345KB    -     -     -       N        -               472  637  com.apple.CloudDocs.iCloudDriveFileProvider                                    0s               70s          0.00%
  363   40 (BG)               3     3105KB          7265KB    N     Y     -       N        -               381  234  videocodecd                                                                   44s              179s         24.69%
  364   40 (BG)               3     6001KB          6209KB    Y     Y     -       N        -               833  586  diagnosticextensionsd                                                         53s               95s         56.16%
  365   40 (BG)               3     3697KB          4017KB    Y     Y     -       N        -               492  300  nanotimekitcompaniond                                                         43s              170s         25.27%
  366   40 (BG)               6     2881KB          3041KB    Y     Y     -       N        -               860  655  inputanalyticsd                                                               35s               42s         83.20%
  367   40 (BG)               3     4241KB          4449KB    Y     Y     -       N        -               841  631  com.apple.sbd                                                                 30s               76s         40.10%
  368   40 (BG)               9    17313KB         19553KB    N     Y     -       N        -               170  116  chronod                                                                      151s              184s         82.39%
  369   40 (BG)               4     2353KB          2433KB    N     -     -       N        -               419  643  abm-helper                                                                     0s               57s          0.07%
  370   40 (BG)               4     7905KB          8593KB    Y     Y     -       N        -               512  313  destinationd                                                                  73s              168s         43.64%
  371   40 (BG)               4    17329KB         26641KB    Y     Y     -       N        -               270  677  com.apple.siri.embeddedspeech                                                 12s               12s         96.62%
  372   40 (BG)               5     4465KB         18945KB    N     Y     -       N        -               106   83  containermanagerd                                                            169s              184s         91.83%
  373   40 (BG)               7     4897KB          5361KB    Y     Y     -       N        -               399  247  siriknowledged                                                               101s              177s         57.46%
  374   40 (BG)               3     3841KB          4001KB    N     -     -       N        -                90   75  aonsensed                                                                    104s              184s         56.73%
  375   40 (BG)              19     3569KB          3585KB    Y     Y     -       N        -               850  646  fileindexerd                                                                   4s               53s          7.55%
  376   40 (BG)               3     3633KB          3793KB    N     -     -       N        -               102   81  powerexceptionsd                                                               2s              184s          1.57%
  377   40 (BG)               3     3041KB          3153KB    N     Y     -       N        -               168  115  containermanagerd_system                                                     103s              184s         56.40%
  378   40 (BG)              31     7345KB          7985KB    N     Y     -       N        -               200  131  wirelessinsightsd                                                            135s              183s         73.59%
  379   40 (BG)              55     7201KB          8513KB    N     Y     -       N        -                80   70  contextstored                                                                157s              184s         85.41%
  380   45 (Unknown)         84    18386KB         19554KB    Y     Y     -       N        -               314  195  searchd                                                                      173s              182s         95.41%
  381   45 (Unknown)         22    15969KB         16785KB    Y     Y     -       N        -               686  445  searchtoold                                                                  109s              132s         82.20%
  382   45 (Unknown)          3     4545KB         15201KB    Y     Y     -       N        -               862  658  hybridsearchd                                                                 39s               40s         99.35%
  383   70 (-)                3     1985KB          2049KB    -     -     -       N        -               154  107  IOMFB_bics_daemon                                                              0s              184s          0.00%
  384   70 (-)                4     2417KB          2465KB    Y     Y     -       N        -               726  477  CacheDeleteAppContainerCaches                                                 33s              116s         28.84%
  385   70 (-)               36     6753KB          7377KB    Y     Y     -       N        -               130   95  remindd                                                                      141s              184s         76.79%
  386   80 (UISupport)        6     5041KB          8721KB    Y     Y     -       N        -               678  433  diagnosticd                                                                  137s              137s         99.95%
  387   80 (UISupport)       15    14513KB         14657KB    -     -     -       N        -               844  639  SafariViewService                                                              0s               67s          0.00%
  388   80 (UISupport)       13     2065KB          2081KB    -     -     -       N        -               700  688  jetsam_priority                                                                0s                1s          0.00%
  389   80 (UISupport)       15     2049KB          2065KB    -     -     -       N        -               700  689  jetsam_priority                                                                0s                1s          0.00%
  390   80 (UISupport)       17      945KB           945KB    -     -     -       N        -               700  690  vm_stat                                                                        0s                1s          0.00%
  391   85 (Unknown)          8     7793KB          9169KB    Y     Y     -       N        -               336  208  modelmanagerd                                                                159s              181s         87.75%
  392   90 (FGSupport)        6    28337KB         28561KB    Y     -     -       N        -               118   89  ptpd                                                                         121s              184s         65.74%
  393   90 (FGSupport)       26    29265KB         52977KB    Y     -     -       N        -               731  480  kbd                                                                           99s              114s         86.73%
  394  100 (FG)               3     9617KB         10081KB    -     -     -       N        -               258  163  InputUI                                                                        0s              183s          0.00%
  395  100 (FG)               3    29265KB        110049KB    -     -     -       N        -                12  229  PhotosPosterProvider                                                           0s              180s          0.00%
  396  100 (FG)              23    66161KB        107265KB    -     -     -       N        -               829  584  Feedback Assistant iOS                                                         0s               96s          0.00%
  397  100 (FG)               3     2705KB          2721KB    -     -     -       N        -               833  647  com.apple.DiagnosticExtensions.sysdiagnose                                     0s               52s          0.00%
  398  110 (-)                3     2257KB          2305KB    Y     Y     -       N        -               605  384  notification_proxy                                                           153s              153s         99.99%
  399  110 (-)               13     4129KB          5969KB    Y     Y     -       N        -               700  456  sysdiagnosed                                                                 129s              129s         99.80%
  400  120 (Audio)           12     9793KB         11761KB    Y     -     -       N        -               142  101  bluetoothd                                                                   182s              184s         98.80%
  401  120 (Audio)            3     2609KB          2705KB    Y     Y     -       N        -               724  472  BTLEServer                                                                   123s              123s         99.91%
  402  120 (Audio)            3     2721KB          2801KB    N     -     -       N        -               178  120  systemstatusd                                                                 20s              184s         11.38%
  403  140 (-)                4     5025KB          5201KB    Y     Y     -       N        -               122   91  lockdownd                                                                    184s              184s         99.72%
  404  140 (-)               13    14897KB         16209KB    Y     Y     -       N        -               114   87  dasd                                                                         183s              184s         99.61%
  405  140 (-)                3     4673KB          4833KB    Y     Y     -       N        -                70   65  nfcd                                                                         183s              184s         99.47%
  406  140 (-)               27    21089KB         23537KB    Y     -     -       N        -                98   79  locationd                                                                    183s              184s         99.22%
  407  140 (-)               22     8849KB         11105KB    Y     Y     -       N        -               208  136  securityd                                                                    182s              183s         99.29%
  408  140 (-)                5    12049KB         12305KB    Y     -     -       N        -                94   77  sharingd                                                                     181s              184s         98.08%
  409  140 (-)                3     4289KB          4545KB    Y     Y     -       N        -               288  181  cdpd                                                                         181s              182s         99.24%
  410  140 (-)               17     6433KB          7009KB    Y     Y     -       N        -               350  215  symptomsd                                                                    180s              181s         99.48%
  411  140 (-)                3    12273KB         12689KB    Y     Y     -       N        -               138   99  rapportd                                                                     182s              184s         98.71%
  412  140 (-)               15    12385KB         15137KB    Y     -     -       N        -                52   56  wifid                                                                        182s              184s         98.98%
  413  140 (-)               25    11809KB         13153KB    Y     Y     -       N        -               413  255  assetsd                                                                      175s              176s         99.77%
  414  140 (-)                3     3665KB          3873KB    Y     Y     -       N        -               421  259  installcoordinationd                                                         175s              175s         99.93%
  415  140 (-)                9     4081KB          4961KB    Y     Y     -       N        -               530  323  medialibraryd                                                                160s              167s         95.84%
  416  140 (-)               11     4049KB          5809KB    Y     Y     -       N        -               252  160  analyticsd                                                                   176s              183s         96.08%
  417  140 (-)                3     3697KB          3761KB    Y     -     -       N        -                92   76  timed                                                                        175s              184s         94.87%
  418  140 (-)                3     3121KB          4897KB    N     -     -       N        -               572  361  gpsd                                                                          70s              158s         44.27%
  419  140 (-)               12    12289KB         13281KB    N     -     -       N        -               104   82  imagent                                                                      130s              184s         70.81%
  420  140 (-)                3     5297KB          5489KB    Y     -     -       N        -                48   54  WirelessRadioManagerd                                                         83s              184s         45.36%
  421  140 (-)                3     3329KB          3473KB    Y     Y     -       N        -               540  329  nesessionmanager                                                             109s              166s         66.10%
  422  140 (-)               12     6609KB          6897KB    Y     Y     -       N        -               250  159  calaccessd                                                                   174s              183s         94.90%
  423  140 (-)                6    23665KB        123937KB    N     -     -       N        -                82   71  cameracaptured                                                               147s              184s         79.59%
  424  140 (-)                3     3777KB         44801KB    N     -     -       N        -               198  130  biometrickitd                                                                 47s              184s         25.80%
  425  140 (-)                6     6193KB          6945KB    N     -     -       N        -               226  146  apsd                                                                         146s              183s         79.90%
  426  140 (-)                3     4513KB          4673KB    N     -     -       N        -               342  211  mDNSResponder                                                                  1s              181s          0.86%
  427  140 (-)                3     4417KB          4881KB    N     -     -       N        -                42   51  powerd                                                                        67s              184s         36.60%
  428  140 (-)                5     3649KB          6209KB    Y     -     -       N        -               166  113  cfprefsd                                                                     179s              184s         97.42%
  429  140 (-)                3     2497KB          2545KB    N     -     -       N        -               164  112  cfprefsd                                                                      62s              184s         34.10%
  430  140 (-)                3     4449KB          4673KB    N     -     -       N        -               180  121  lsd                                                                           84s              184s         46.13%
  431  140 (-)               28    13153KB         14497KB    N     -     -       N        -                72   66  identityservicesd                                                            169s              184s         91.77%
  432  140 (-)               11    43329KB         47457KB    N     -     -       N        -               206  135  audiomxd                                                                     148s              184s         80.61%
  433  150 (DriverKit)        3    27313KB         31377KB    -     -     -       N        -               172  117  com.apple.DriverKit-AppleBCMWLAN                                               0s              184s          0.00%
  434  160 (Home)            39   125330KB        197650KB    Y     -     -       N        -                12   37  SpringBoard                                                                  183s              184s         99.54%
  435  170 (RenderServer)    10   202993KB        592289KB    -     -     -       N        -                86   73  backboardd                                                                     0s              184s          0.00%
  436  180 (Important)       14     6977KB          8385KB    -     -     -       N        -                10   35  logd                                                                           0s              184s          0.00%
  437  180 (Important)        3     2945KB          3073KB    -     -     -       N        -               146  103  fairplayd.H2                                                                   0s              184s          0.00%
  438  180 (Important)        3     3969KB          5009KB    -     -     -       N        -               150  105  fseventsd                                                                      0s              184s          0.00%
  439  180 (Important)        3     2865KB          2913KB    -     -     -       N        -                78   69  thermalmonitord                                                                0s              184s          0.00%
  440  180 (Important)        3     9985KB         11281KB    Y     -     -       N        -                14   36  runningboardd                                                                184s              184s         99.67%
  441  180 (Important)       10     2433KB          2577KB    Y     Y     -       N        -               532  324  filecoordinationd                                                            167s              167s         99.91%
  442  180 (Important)       18     3057KB          5569KB    Y     Y     -       N        -               550  342  corecaptured                                                                 165s              165s         99.98%
  443  180 (Important)      215     8833KB          9761KB    Y     -     -       N        -                 6   33  UserEventAgent                                                               179s              184s         97.00%
  444  180 (Important)       13     8577KB          9601KB    Y     -     -       N        -               124  656  PerfPowerServices                                                             35s               41s         84.72%
  445  180 (Important)        8     4689KB          4977KB    N     -     -       N        -                36   48  configd                                                                       38s              184s         20.97%
  446  180 (Important)        3     2209KB          2257KB    N     -     -       N        -               158  109  distnoted                                                                     13s              184s          7.28%
  447  180 (Important)        3     2321KB          2369KB    N     -     -       N        -                68   64  watchdogd                                                                      4s              184s          2.64%
  448  190 (Critical)        10    14753KB         28609KB    Y     -     -       N        -               148  104  CommCenter                                                                    95s              184s         51.91%
  449  200 (-)               13     4241KB          4641KB    N     -     -       N        -               160  110  notifyd                                                                        0s              184s          0.42%
  450  999 (-)                4    17985KB         18257KB    -     -     -       N        -                 3    1  launchd                                                                        0s              191s          0.00%
  451  999 (-)                -   225360KB        322128KB    -     -     -       -        -                 3    0  kernel_task                                                                    0s              191s          0.00%
