    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
   50    0 (Idle)             3     2801KB          2961KB    N     Y     -       N        -               548  340  captiveagent                                                                   0s              164s          0.38%
   51    0 (Idle)             3     2913KB          2945KB    N     Y     -       N        -               690  447  caraccessoryd                                                                  0s              131s          0.00%
   52    0 (Idle)             3     2225KB          2465KB    N     Y     -       N        -               298  453  intents_helper                                                                 0s              130s          0.06%
   53    0 (Idle)             3     2513KB          2561KB    N     Y     -       N        -               682  439  siriappintentsd                                                                8s              134s          6.69%
   54    0 (Idle)             3     2689KB          2945KB    N     Y     -       N        -                18  441  SetStoreUpdateService                                                          1s              133s          0.98%
   55    0 (Idle)             6     3777KB          3873KB    N     Y     -       N        -               334  207  deviceaccessd                                                                  1s              180s          1.03%
   56    0 (Idle)             3     2305KB          2385KB    N     Y     -       N        -               607  385  watchpresenced                                                                 0s              152s          0.03%
   57    0 (Idle)             3     3841KB          3841KB    -     -     -       N        -               170  462  InCallActivitiesExtension                                                      0s              126s          0.00%
   58    0 (Idle)             3    12257KB         12257KB    -     -     -       N        -               298  452  ShortcutsTopHitsExtension                                                      0s              130s          0.00%
   59    0 (Idle)             3     2321KB          2401KB    N     Y     -       N        -               338  471  AppPredictionIntentsHelperService                                              1s              122s          1.14%
   60    0 (Idle)             8     2945KB          2993KB    N     Y     -       N        -                22  249  AppIntentsLiveEntityService                                                    3s              175s          1.96%
   61    0 (Idle)             3     3361KB          3457KB    N     Y     -       N        -                22  353  com.apple.SharePlay.NearbyInvitationsService                                   1s              160s          1.14%
   62    0 (Idle)             3     2193KB          2497KB    N     Y     -       N        -               401  359  ACCHWComponentAuthService                                                      4s              158s          2.55%
   63    0 (Idle)             3     1569KB          1601KB    N     Y     -       N        -               588  372  OTATaskingAgent                                                                0s              153s          0.04%
   64    0 (Idle)             3     2801KB          2817KB    N     Y     -       N        -               593  377  mobile_installation_proxy                                                      1s              153s          0.71%
   65    0 (Idle)             3     2545KB          2625KB    N     Y     -       N        -               530  475  SetStoreUpdateService                                                          5s              119s          5.00%
   66    0 (Idle)             4     4593KB          4737KB    N     Y     -       N        -               684  442  assistant_service                                                              0s              132s          0.66%
   67    0 (Idle)             3     2497KB          2593KB    N     Y     -       N        -               595  379  IMTransferAgent                                                                0s              153s          0.06%
   68    0 (Idle)             3     2449KB          2545KB    N     Y     -       N        -                38  436  UARPUpdaterServiceLegacyAudio                                                  0s              136s          0.01%
   69    0 (Idle)             4     3745KB          3841KB    N     Y     -       N        -               228  355  localspeechrecognition                                                         9s              159s          5.97%
   70    0 (Idle)             3     5905KB          6449KB    -     -     -       N        -               737  485  PassbookUIService                                                              0s              107s          0.00%
   71    0 (Idle)             3     3185KB          8193KB    N     Y     -       N        -                58   59  amfid                                                                          3s              183s          2.17%
   72    0 (Idle)             3     3457KB          3553KB    N     Y     -       N        -               228  440  MessagesBlastDoorService                                                      27s              134s         20.45%
   73    0 (Idle)             3     2769KB          2993KB    N     Y     -       N        -               488  298  softposreaderd                                                                12s              169s          7.48%
   74    0 (Idle)             3     2785KB          3041KB    N     Y     -       N        -               457  277  appleidsetupd                                                                 12s              172s          6.95%
   75    0 (Idle)             4     3713KB          3825KB    N     Y     -       N        -               520  317  communicationtrustd                                                            3s              166s          2.23%
   76    0 (Idle)             3     3393KB          3569KB    N     Y     -       N        -               621  393  analyticsagent                                                                 2s              151s          1.94%
   77    0 (Idle)             3     2865KB          2977KB    N     Y     -       N        -               580  423  SeymourAppStoreService                                                         0s              141s          0.03%
   78    0 (Idle)            10     4481KB          4481KB    N     Y     -       N        -               742  495  symptomsd-distributed                                                          5s              104s          5.15%
   79    0 (Idle)             3     2417KB          2497KB    N     Y     -       N        -               603  383  pipelined                                                                      0s              152s          0.00%
   80    0 (Idle)             6    19729KB         24817KB    -     -     -       N        -               705  459  InCallService                                                                  0s              127s          0.00%
