Command,Exit description,Execution Time,Intended Timeout, MAX RSS (MB)
"/System/Library/Frameworks/SystemConfiguration.framework/get-network-info -c /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/Networking_sysdiagnose_temp.1UNYnc/Networking","exited with status 0",2.453449,100.000000,3.781250
"/usr/libexec/transparency-sysdiagnose","exited with status 0",3.159762,3.000000,4.984375
"/usr/sbin/ckksctl status --json","exited with status 0",3.573099,3.000000,10.375000
"/usr/bin/brctl diagnose --sysdiagnose /private/var/mobile/Library/Logs/CrashReporter/Cloud/clouddocs_2026.08.08_04-06-43+0300","exited with status 0",4.462076,30.000000,6.515625

Concurrent group with total timeout 30.000000 sec
"/usr/sbin/ioreg -z -i -l -p IOService -w 0","exited with status 0",7.542351,30.000000,3.406250
"/usr/sbin/ioreg -z -i -l -p IOACPIPlane -w 0","exited with status 0",0.039787,30.000000,2.265625
"/usr/sbin/ioreg -z -i -l -p IOPower -w 0","exited with status 0",0.846153,30.000000,2.734375
"/usr/sbin/ioreg -z -i -l -p IODeviceTree -w 0","exited with status 0",0.365575,30.000000,2.671875
"/usr/sbin/ioreg -z -i -l -p IOUSB -w 0","exited with status 0",0.152826,30.000000,2.265625
"/usr/sbin/ioreg -z -i -l -p IOFireWire -w 0","exited with status 0",0.053196,30.000000,2.250000
"/usr/sbin/ioreg -z -i -l -p IOPort -w 0","exited with status 0",0.046065,30.000000,2.265625
"/usr/sbin/ioreg -a -w0 -x 0","exited with status 1",0.067406,30.000000,2.015625


Concurrent group with total timeout 25.000000 sec
"/usr/bin/codecctl -c 1 -a","exited with status 0",1.891570,25.000000,1.500000
"/usr/libexec/security-sysdiagnose","exited with status 0",9.153730,25.000000,10.906250
"/usr/libexec/pcsstatus --json capture output","exited with status 0",11.642868,25.000000,8.281250
"/usr/bin/hidutil dump","exited with status 0",1.755656,25.000000,3.500000

"/usr/sbin/spindump -oslog -microstackshots_only -microstackshots_save -microstackshots_datastore /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/unnamed_tasks_sysdiagnose_temp.mIjhZS/unnamed_tasks/microstackshots -microstackshots_starttime 1785892003 -microstackshots_endtime 1786151203","exited with status 0",11.725202,45.000000,3.390625
"/usr/bin/lsdiagnose","exited with status 0",23.470848,60.000000,158.734375
"/usr/bin/modelcatalogdump","exited with status 0",23.366914,2.000000,23.187500

Concurrent group with total timeout 5.000000 sec
"/usr/bin/fileproviderctl diagnose --limit-dump-size -o /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/FileProvider_sysdiagnose_temp.prHpf1/FileProvider","exited with status 0",11.923332,5.000000,5.828125
"/usr/bin/fileproviderctl check -v -o /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/FileProvider_sysdiagnose_temp.prHpf1/FileProvider/fileproviderctl_check.log","exited with status 65",27.239931,5.000000,3.609375


Concurrent group with total timeout 35.000000 sec
"/usr/bin/log config --status",Never got executed,0.00,35.000000
"/bin/ls -lRsh /private/var/db/diagnostics",Never got executed,0.00,35.000000
"/bin/ls -lRsh /private/var/db/uuidtext",Never got executed,0.00,35.000000

