# --- Diagnostics

————————————————————————————————————————————————————————————————————————————————————————————————————————
Timestamp    Name                          Duration    Result    Description                            
————————————————————————————————————————————————————————————————————————————————————————————————————————
Wi-Fi Link                                 0.001       Yes       02:56:59.782        Wi-Fi is associated to 'MTS_GPON5_aae498'
IPv4 Assigned                              0.001       Yes       02:56:59.783        Wi-Fi has IPv4 assigned (router=192.168.50.1 ip=192.168.50.110)
IPv6 Assigned                              0.001       No        02:56:59.784        Wi-Fi does not have IPv6 assigned
Primary IPv4 is Wi-Fi                      0.003       Yes       02:56:59.786        en0 (Wi-Fi / 8007BFDB-9BCE-4DCD-9A08-64E014CECA7B)
Primary IPv6 is Wi-Fi                      0.001       No        02:56:59.789        None
Custom IPv4                                0.000       No        02:56:59.791        Wi-Fi is using 'DHCP' for IPv4
Custom IPv6                                0.000       No        02:56:59.792        Wi-Fi is using 'Automatic' for IPv6
Custom DNS                                 0.000       No        02:56:59.792        Did not detect custom DNS settings
Custom Web Proxy                           0.000       No        02:56:59.793        Did not detect custom web proxy settings
BT Paired Count                            0.000       Yes       02:56:59.794        Paired Bluetooth device count (5)
BT Connected Count                         0.000       Yes       02:56:59.794        Connected Bluetooth device count (1)
BT Coex Active                             0.000       No        02:56:59.795        Bluetooth coexistence is not active
AWDL Enabled                               0.000       No        02:56:59.795        AWDL is not active
AWDL Real Time Mode                        0.000       No        02:56:59.795        AWDL real time mode is not active
Leaky AP                                   0.002       No        02:56:59.795        Current network is not 'leaky'
Poor Wi-Fi Signal                          0.003       No        02:56:59.797        Current network has good signal (RSSI=-64dBm, SNR=34dB)
Uncommon Beacon Interval                   0.002       No        02:56:59.801        Beacon interval is 100ms
Uncommon DTIM Interval                     0.001       Yes       02:56:59.803        DTIM interval is 0ms
No Wi-Fi Security (Open)                   0.003       No        02:56:59.805        Current network does not use open security (WPA2 Personal)
Legacy Wi-Fi Security (WPA)                0.005       No        02:56:59.808        Current network does not use WPA security (WPA2 Personal)
Legacy Wi-Fi Security (WEP)                0.004       No        02:56:59.813        Current network does not use WEP security (WPA2 Personal)
Legacy Wi-Fi Rates (802.11b)               0.001       No        02:56:59.818        Current network is not using 802.11b
iOS Personal Hotspot                       0.001       No        02:56:59.819        Current network is not an iOS PH
Passpoint                                  0.002       No        02:56:59.820        Current network is not Passpoint
AirPort Base Station                       0.002       Yes       02:56:59.823        ? (0)
Ambiguous Network Name                     0.000       No        02:56:59.825        MTS_GPON5_aae498 is not ambiguous
Captive Portal                             0.001       No        02:56:59.825        Current network is not captive
Hidden Network                             0.001       No        02:56:59.827        Current network is not marked as hidden


