TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-08-08 00:11:00,3866,82,1,3589,1426,1459,4317,83,-4916,1000,87,47139,35252,85188,3569,4778,2338,15
2026-08-08 00:16:00,3410,86,1,3589,1497,1501,4374,86,-5035,1000,87,47139,590108,2513026,3469,4965,1539,15
2026-08-08 00:21:00,2975,89,1,3600,1471,1479,4410,89,-5149,1000,90,47139,1458015,5187394,3469,4943,1640,15
