TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-08-07 22:41:45,8243,51,1,3600,-658,-857,3939,53,-3770,1000,65,47139,12811,14320,3689,4777,480,0
2026-08-07 22:46:47,7740,55,0,3859,-991,-967,3979,57,-3901,1000,62,47139,424357,2269538,3669,0,0,15
2026-08-07 22:51:48,7162,59,1,4159,2635,2640,4144,60,-4053,1000,84,47139,526876,1705706,3819,4638,2885,15
2026-08-07 22:56:49,6565,63,1,3889,1940,1810,4130,64,-4209,1000,88,47139,154357,239867,3889,4683,2694,15
2026-08-07 23:01:49,6155,67,0,3729,-273,-277,4055,67,-4316,100,81,47137,992474,2719593,3750,0,0,0
2026-08-07 23:26:49,6831,66,0,3259,-698,-770,3953,63,-4140,562,110,47138,3541830,2719593,3250,0,0,0
2026-08-07 23:31:49,6998,65,0,3239,-293,-333,3961,62,-4096,598,111,47138,4164872,2719593,3239,0,0,0
2026-08-07 23:36:49,6628,64,1,3629,2402,2418,4178,64,-4193,1000,99,47137,5000694,5000525,3329,4650,2926,15
